train 5232
val 729
test 1486
test_data:  1486
Iter: 163, mse: 0.0470, rmse: 0.2169, mae: 0.2034
Iter: 164, mse: 0.0441, rmse: 0.2099, mae: 0.1950
Iter: 165, mse: 0.0331, rmse: 0.1820, mae: 0.1635
Iter: 166, mse: 0.0208, rmse: 0.1442, mae: 0.1217
Iter: 167, mse: 0.0140, rmse: 0.1183, mae: 0.0922
Iter: 168, mse: 0.0161, rmse: 0.1267, mae: 0.1009
Iter: 169, mse: 0.0138, rmse: 0.1175, mae: 0.1012
Iter: 170, mse: 0.0134, rmse: 0.1157, mae: 0.1044
Iter: 171, mse: 0.0147, rmse: 0.1212, mae: 0.0973
Iter: 172, mse: 0.0179, rmse: 0.1339, mae: 0.1132
Iter: 173, mse: 0.0245, rmse: 0.1564, mae: 0.1284
Iter: 174, mse: 0.0242, rmse: 0.1557, mae: 0.1281
Iter: 175, mse: 0.0253, rmse: 0.1590, mae: 0.1315
Iter: 176, mse: 0.0275, rmse: 0.1657, mae: 0.1373
Iter: 177, mse: 0.0323, rmse: 0.1799, mae: 0.1524
Iter: 178, mse: 0.0358, rmse: 0.1891, mae: 0.1640
Iter: 179, mse: 0.0361, rmse: 0.1900, mae: 0.1649
Iter: 180, mse: 0.0385, rmse: 0.1961, mae: 0.1600
Iter: 181, mse: 0.0446, rmse: 0.2113, mae: 0.1687
Iter: 182, mse: 0.0506, rmse: 0.2250, mae: 0.1851
Iter: 183, mse: 0.0607, rmse: 0.2463, mae: 0.2057
Iter: 184, mse: 0.0649, rmse: 0.2548, mae: 0.2161
Iter: 185, mse: 0.0760, rmse: 0.2756, mae: 0.2312
Iter: 186, mse: 0.0824, rmse: 0.2870, mae: 0.2453
Iter: 187, mse: 0.0888, rmse: 0.2979, mae: 0.2587
Iter: 188, mse: 0.0993, rmse: 0.3151, mae: 0.2765
Iter: 189, mse: 0.1097, rmse: 0.3312, mae: 0.2946
Iter: 190, mse: 0.1209, rmse: 0.3477, mae: 0.3137
Iter: 191, mse: 0.1372, rmse: 0.3704, mae: 0.3408
Iter: 192, mse: 0.1482, rmse: 0.3849, mae: 0.3578
Iter: 193, mse: 0.1505, rmse: 0.3879, mae: 0.3574
Iter: 194, mse: 0.1565, rmse: 0.3955, mae: 0.3636
Iter: 195, mse: 0.1681, rmse: 0.4100, mae: 0.3835
Iter: 196, mse: 0.1668, rmse: 0.4084, mae: 0.3801
Iter: 197, mse: 0.1660, rmse: 0.4074, mae: 0.3827
Iter: 198, mse: 0.1597, rmse: 0.3997, mae: 0.3789
Iter: 199, mse: 0.1666, rmse: 0.4082, mae: 0.3858
Iter: 200, mse: 0.1577, rmse: 0.3971, mae: 0.3735
Iter: 201, mse: 0.1622, rmse: 0.4027, mae: 0.3828
Iter: 202, mse: 0.1575, rmse: 0.3969, mae: 0.3763
Iter: 203, mse: 0.1488, rmse: 0.3858, mae: 0.3487
Iter: 204, mse: 0.1480, rmse: 0.3848, mae: 0.3428
Iter: 205, mse: 0.1462, rmse: 0.3824, mae: 0.3395
Iter: 206, mse: 0.1797, rmse: 0.4239, mae: 0.3908
Iter: 207, mse: 0.1853, rmse: 0.4305, mae: 0.3963
Iter: 208, mse: 0.1643, rmse: 0.4053, mae: 0.3575
Iter: 209, mse: 0.2161, rmse: 0.4649, mae: 0.4263
Iter: 210, mse: 0.1866, rmse: 0.4319, mae: 0.3736
Iter: 211, mse: 0.2051, rmse: 0.4529, mae: 0.3980
Iter: 212, mse: 0.1927, rmse: 0.4389, mae: 0.3635
Iter: 213, mse: 0.1984, rmse: 0.4454, mae: 0.3664
Iter: 214, mse: 0.2070, rmse: 0.4550, mae: 0.3775
Iter: 215, mse: 0.2093, rmse: 0.4575, mae: 0.3915
Iter: 216, mse: 0.2162, rmse: 0.4650, mae: 0.3945
Iter: 217, mse: 0.2141, rmse: 0.4627, mae: 0.3884
Iter: 218, mse: 0.2286, rmse: 0.4781, mae: 0.4217
Iter: 219, mse: 0.2183, rmse: 0.4672, mae: 0.3921
Iter: 220, mse: 0.2122, rmse: 0.4606, mae: 0.3949
Iter: 221, mse: 0.2273, rmse: 0.4768, mae: 0.4273
Iter: 222, mse: 0.2103, rmse: 0.4585, mae: 0.3986
Iter: 223, mse: 0.1980, rmse: 0.4450, mae: 0.3846
Iter: 224, mse: 0.1845, rmse: 0.4295, mae: 0.3709
Iter: 225, mse: 0.1740, rmse: 0.4172, mae: 0.3669
Iter: 226, mse: 0.1647, rmse: 0.4058, mae: 0.3652
Iter: 227, mse: 0.1572, rmse: 0.3965, mae: 0.3600
Iter: 228, mse: 0.1622, rmse: 0.4027, mae: 0.3727
Iter: 229, mse: 0.1743, rmse: 0.4175, mae: 0.3929
Iter: 230, mse: 0.1753, rmse: 0.4187, mae: 0.3966
Iter: 231, mse: 0.1358, rmse: 0.3685, mae: 0.3520
Iter: 232, mse: 0.1074, rmse: 0.3278, mae: 0.3137
Iter: 233, mse: 0.1002, rmse: 0.3166, mae: 0.3070
Iter: 234, mse: 0.1069, rmse: 0.3269, mae: 0.3190
Iter: 235, mse: 0.0594, rmse: 0.2436, mae: 0.2316
Iter: 236, mse: 0.0348, rmse: 0.1865, mae: 0.1722
Iter: 237, mse: 0.0273, rmse: 0.1653, mae: 0.1478
Iter: 238, mse: 0.0211, rmse: 0.1452, mae: 0.1255
Iter: 239, mse: 0.0246, rmse: 0.1568, mae: 0.1397
Iter: 240, mse: 0.0170, rmse: 0.1303, mae: 0.1133
Iter: 241, mse: 0.0098, rmse: 0.0990, mae: 0.0814
Iter: 242, mse: 0.0094, rmse: 0.0968, mae: 0.0788
Iter: 243, mse: 0.0072, rmse: 0.0851, mae: 0.0678
Iter: 244, mse: 0.0100, rmse: 0.1002, mae: 0.0823
Iter: 245, mse: 0.0081, rmse: 0.0901, mae: 0.0732
Iter: 246, mse: 0.0088, rmse: 0.0936, mae: 0.0795
Iter: 247, mse: 0.0112, rmse: 0.1060, mae: 0.0899
Iter: 248, mse: 0.0097, rmse: 0.0984, mae: 0.0798
Iter: 249, mse: 0.0112, rmse: 0.1059, mae: 0.0841
Iter: 250, mse: 0.0145, rmse: 0.1205, mae: 0.0973
Iter: 251, mse: 0.0128, rmse: 0.1130, mae: 0.0921
Iter: 252, mse: 0.0129, rmse: 0.1137, mae: 0.0967
Iter: 253, mse: 0.0145, rmse: 0.1204, mae: 0.1005
Iter: 254, mse: 0.0153, rmse: 0.1237, mae: 0.1047
Iter: 255, mse: 0.0171, rmse: 0.1306, mae: 0.1106
Iter: 256, mse: 0.0205, rmse: 0.1430, mae: 0.1233
Iter: 257, mse: 0.0245, rmse: 0.1565, mae: 0.1372
Iter: 258, mse: 0.0239, rmse: 0.1545, mae: 0.1367
Iter: 259, mse: 0.0207, rmse: 0.1437, mae: 0.1227
Iter: 260, mse: 0.0197, rmse: 0.1402, mae: 0.1196
Iter: 261, mse: 0.0215, rmse: 0.1467, mae: 0.1264
Iter: 262, mse: 0.0216, rmse: 0.1471, mae: 0.1243
Iter: 263, mse: 0.0224, rmse: 0.1498, mae: 0.1282
Iter: 264, mse: 0.0221, rmse: 0.1486, mae: 0.1267
Iter: 265, mse: 0.0208, rmse: 0.1441, mae: 0.1229
Iter: 266, mse: 0.0186, rmse: 0.1363, mae: 0.1176
Iter: 267, mse: 0.0215, rmse: 0.1465, mae: 0.1262
Iter: 268, mse: 0.0173, rmse: 0.1317, mae: 0.1092
Iter: 269, mse: 0.0157, rmse: 0.1252, mae: 0.1040
Iter: 270, mse: 0.0147, rmse: 0.1212, mae: 0.1048
Iter: 271, mse: 0.0152, rmse: 0.1231, mae: 0.1120
Iter: 272, mse: 0.0153, rmse: 0.1238, mae: 0.1101
Iter: 273, mse: 0.0155, rmse: 0.1246, mae: 0.1115
Iter: 274, mse: 0.0170, rmse: 0.1303, mae: 0.1201
Iter: 275, mse: 0.0193, rmse: 0.1391, mae: 0.1210
Iter: 276, mse: 0.0195, rmse: 0.1396, mae: 0.1204
Iter: 277, mse: 0.0208, rmse: 0.1442, mae: 0.1181
Iter: 278, mse: 0.0187, rmse: 0.1367, mae: 0.1157
Iter: 279, mse: 0.0228, rmse: 0.1511, mae: 0.1242
Iter: 280, mse: 0.0169, rmse: 0.1299, mae: 0.1119
Iter: 281, mse: 0.0147, rmse: 0.1213, mae: 0.1071
Iter: 282, mse: 0.0122, rmse: 0.1106, mae: 0.0973
Iter: 283, mse: 0.0127, rmse: 0.1127, mae: 0.0998
